total,email,date,total_stock,company,stock_price,transaction_type
123392.1429365861426177275462,calvinwhite@yahoo.com,1231200000000,5242,adbe,23.539134478555158835888505564071238040924072265625,SELL
30150.93280761659794819706804,calvinwhite@yahoo.com,1031616000000,3105,adbe,9.71044534866879160972530371509492397308349609375,BUY
1019817.239085090391995436221,calvinwhite@yahoo.com,1359072000000,5787,ibm,176.2255467574028671151609160006046295166015625,BUY
147846.3085002497583779756951,calvinwhite@yahoo.com,1233705600000,7443,adbe,19.863806059418212868195041664876043796539306640625,BUY
89668.27850205019041851528527,calvinwhite@yahoo.com,1210204800000,4429,nvda,20.24571652789573050768012763001024723052978515625,SELL
9819.763756274590996042661573,calvinwhite@yahoo.com,1348444800000,788,nvda,12.4616291323281611624906872748397290706634521484375,BUY
38847.16008051159036540411762,calvinwhite@yahoo.com,172281600000,3640,ibm,10.67229672541527207840772462077438831329345703125,BUY
986.6510258016154821802956576,calvinwhite@yahoo.com,1066262400000,185,nvda,5.33324878811684044421781436540186405181884765625,SELL
1000021.732889058587460340277,calvinwhite@yahoo.com,1482192000000,9581,nvda,104.375507033614297824897221289575099945068359375,SELL
42910.19442119590515716254231,calvinwhite@yahoo.com,1265673600000,1342,adbe,31.974809553797246763906514388509094715118408203125,BUY
14107.21965543083928018575079,calvinwhite@yahoo.com,1462147200000,5916,znga,2.384587500917991764737280391273088753223419189453125,BUY
17970.98238841427399581363034,calvinwhite@yahoo.com,1417737600000,7158,znga,2.510615030513310141913052575546316802501678466796875,SELL
12739.67401924216785502608218,calvinwhite@yahoo.com,1020643200000,1270,nvda,10.0312393852300534291543954168446362018585205078125,SELL
175811.0465953350449197500893,calvinwhite@yahoo.com,1461542400000,4889,nvda,35.96053315511046122310290229506790637969970703125,SELL
195312.9062792739223510807278,calvinwhite@yahoo.com,1194825600000,2249,ibm,86.8443336057242873948780470527708530426025390625,BUY
136062.7771774659524410822087,calvinwhite@yahoo.com,1386115200000,2423,adbe,56.15467485656869683907643775455653667449951171875,BUY
41623.48280794677914684598363,calvinwhite@yahoo.com,1319414400000,2968,nvda,14.0240845040251951303389432723633944988250732421875,SELL
208538.1896030841023161883641,calvinwhite@yahoo.com,1317686400000,4584,sap,45.49262425896250050527669372968375682830810546875,SELL
156111.5912566521429596377857,calvinwhite@yahoo.com,1135900800000,2287,ibm,68.260424685899494079421856440603733062744140625,SELL
25953.13368022933925072237571,calvinwhite@yahoo.com,1411603200000,8658,znga,2.997589937656426339884774279198609292507171630859375,BUY
18614.43619667799350647641177,calvinwhite@yahoo.com,1404259200000,5819,znga,3.19890637509503239499508708831854164600372314453125,SELL
134024.5336258754987568408978,calvinwhite@yahoo.com,1175126400000,1690,ibm,79.3044577667902359507934306748211383819580078125,SELL
234214.0015957127214534239101,calvinwhite@yahoo.com,1446508800000,2591,adbe,90.3952148188779318616070668213069438934326171875,BUY
582122.5515073134086136974474,calvinwhite@yahoo.com,1028851200000,9733,ibm,59.80915971512518325425844523124396800994873046875,BUY
197499.9288220211439792706187,calvinwhite@yahoo.com,1172448000000,9831,nvda,20.08950552558449231810300261713564395904541015625,SELL
